iter	RMSE
0	1.341844989
1	1.336059392
2	1.330712162
3	1.325452448
4	1.320285558
5	1.315405423
6	1.310970971
7	1.306699939
8	1.302492332
9	1.298645352
10	1.294862039
11	1.291390903
12	1.288125957
13	1.285039325
14	1.281754374
15	1.278834194
16	1.27601921
17	1.273341513
18	1.270697718
19	1.268163887
20	1.26578586
21	1.263418892
22	1.26119027
23	1.258678222
24	1.256457881
25	1.254061224
26	1.251919012
27	1.24968502
28	1.247684263
29	1.245629505
30	1.243955858
31	1.242418145
32	1.240704741
33	1.239181189
34	1.237637696
35	1.236452678
36	1.235011174
37	1.233681283
38	1.232283855
39	1.231012782
40	1.229929724
41	1.22868562
42	1.227393089
43	1.226316496
44	1.225344177
45	1.224331736
46	1.223362213
47	1.222445202
48	1.221610071
49	1.22062581
50	1.21983969
51	1.218895999
52	1.21811432
53	1.217430035
54	1.216653746
55	1.215849201
56	1.21505889
57	1.214333001
58	1.21379714
59	1.213181836
60	1.21239529
61	1.211696305
62	1.211112337
63	1.2104116
64	1.209843144
65	1.209366813
66	1.208821016
67	1.208277116
68	1.207641208
69	1.207157995
70	1.206543513
71	1.205981735
72	1.20541324
73	1.204914018
74	1.204427923
75	1.203928329
76	1.203476359
77	1.203074868
78	1.202626984
79	1.202294274
80	1.201903049
81	1.201578321
82	1.20112939
83	1.200788159
84	1.200535937
85	1.200144619
86	1.199916247
87	1.199648377
88	1.199323483
89	1.198934743
90	1.198722763
91	1.198382865
92	1.198112048
93	1.197774216
94	1.197460308
95	1.197202516
96	1.196973087
97	1.196657215
98	1.196430662
99	1.19615214
100	1.195957168
101	1.195625255
102	1.195429586
103	1.195205403
104	1.195000075
105	1.194828324
106	1.194575409
107	1.194327589
108	1.19411815
109	1.193756039
110	1.193529583
111	1.193382059
112	1.1932436
113	1.193023147
114	1.192746891
115	1.192475434
116	1.192227145
117	1.192016702
118	1.191807318
119	1.191579949
120	1.191497655
121	1.191221518
122	1.19101399
123	1.190850833
124	1.190658507
125	1.190429708
126	1.190278492
127	1.190084621
128	1.18989845
129	1.189678929
130	1.189531689
131	1.189408637
132	1.189211635
133	1.18911253
134	1.188876845
135	1.188644949
136	1.188510697
137	1.188338984
138	1.188164298
139	1.187971949
140	1.18788268
141	1.187792334
142	1.187485034
143	1.187308142
144	1.187138549
145	1.187026731
146	1.186837578
147	1.186692579
148	1.186491501
149	1.186408212
150	1.186208389
151	1.186039962
152	1.185910332
153	1.185770836
154	1.185615236
155	1.185424666
156	1.185237147
157	1.18502072
158	1.184848941
159	1.184773212
160	1.184667994
161	1.184546537
162	1.184405143
163	1.184326324
164	1.18415022
165	1.184074728
166	1.183929094
167	1.183799547
168	1.183668517
169	1.183556675
170	1.183370105
171	1.183222648
172	1.183139548
173	1.182977048
174	1.182894287
175	1.18270313
176	1.182576719
177	1.182536483
178	1.18240132
179	1.182255632
180	1.182138579
181	1.182038355
182	1.181903796
183	1.181622154
184	1.181519907
185	1.181371073
186	1.181261973
187	1.181149808
188	1.181092926
189	1.180989052
190	1.180858328
191	1.180795689
192	1.180701544
193	1.180577631
194	1.180484512
195	1.180360171
196	1.18028777
197	1.180160085
198	1.180017529
199	1.179952027
200	1.179834187
201	1.179775374
202	1.179665129
203	1.179508255
204	1.179411938
205	1.179280308
206	1.179183472
207	1.179146817
208	1.179068017
209	1.17899238
210	1.178906454
211	1.17883429
212	1.178718199
213	1.178563062
214	1.178471554
215	1.178395352
216	1.178289529
217	1.178164533
218	1.178063167
219	1.177962766
220	1.177855105
221	1.177819586
222	1.177755335
223	1.177637179
224	1.177540088
225	1.177392161
226	1.17735271
227	1.177185225
228	1.177125152
229	1.177047167
230	1.176987495
231	1.176928533
232	1.176855023
233	1.176762872
234	1.176693913
235	1.176617619
236	1.176540894
237	1.176447293
238	1.176354692
239	1.176214638
240	1.176120906
241	1.176029255
242	1.175994139
243	1.175939128
244	1.175870563
245	1.175792389
246	1.17566432
247	1.175550437
248	1.175459409
249	1.175309048
250	1.175214776
251	1.175192184
252	1.175121745
253	1.175044712
254	1.174962563
255	1.174808595
256	1.174718299
257	1.174637433
258	1.174548676
259	1.174475516
260	1.174402213
261	1.174367196
262	1.174294047
263	1.174181719
264	1.174138456
265	1.174111497
266	1.174031929
267	1.173939071
268	1.173896166
269	1.173818219
270	1.173749486
271	1.173654037
272	1.173581994
273	1.173472664
274	1.17335976
275	1.173197008
276	1.173033658
277	1.172971728
278	1.172909345
279	1.172765788
280	1.172719388
281	1.172647006
282	1.172563083
283	1.17247229
284	1.172389832
285	1.172273503
286	1.17220528
287	1.172061739
288	1.171991095
289	1.171914135
290	1.171842723
291	1.171719733
292	1.171673384
293	1.171633985
294	1.171464203
295	1.171331414
296	1.171245905
297	1.1711587
298	1.171107529
299	1.171012734
300	1.170919313
301	1.170853953
302	1.170744778
303	1.170710453
304	1.170666709
305	1.170562008
306	1.170446181
307	1.17034146
308	1.170264645
309	1.170168724
310	1.17008727
311	1.170033071
312	1.169812416
313	1.169711721
314	1.169627553
315	1.169509965
316	1.169388269
317	1.169300056
318	1.169179597
319	1.169070729
320	1.16904987
321	1.168917164
322	1.168872371
323	1.168811553
324	1.168743912
325	1.16865855
326	1.168605004
327	1.168479155
328	1.16841081
329	1.168337905
330	1.168280628
331	1.168130549
332	1.168019418
333	1.167903988
334	1.167861452
335	1.167744984
336	1.167697631
337	1.167522189
338	1.167453466
339	1.16736467
340	1.167265295
341	1.167160363
342	1.167046596
343	1.167000304
344	1.166962763
345	1.166862992
346	1.166789397
347	1.166680975
348	1.166597492
349	1.166548194
350	1.166463601
351	1.166333558
352	1.166225
353	1.166101422
354	1.165928292
355	1.165868815
356	1.165735954
357	1.165694376
358	1.165574468
359	1.165475596
360	1.165395454
361	1.165351929
362	1.165298487
363	1.165248585
364	1.165184385
365	1.165043267
366	1.164933506
367	1.164799113
368	1.164766989
369	1.164722322
370	1.164658535
371	1.164589231
372	1.164529326
373	1.164403684
374	1.16430091
375	1.164248176
376	1.164139651
377	1.164061679
378	1.163921132
379	1.163891852
380	1.16375893
381	1.163671569
382	1.163606511
383	1.163559236
384	1.16343424
385	1.163363101
386	1.163289562
387	1.163194324
388	1.163052256
389	1.162975657
390	1.162933162
391	1.162779545
392	1.162678792
393	1.162503237
394	1.162408069
395	1.162313427
396	1.162246117
397	1.162195158
398	1.162076342
399	1.16190319
400	1.161841293
401	1.161766137
402	1.161721127
403	1.161676653
404	1.161613655
405	1.161593438
406	1.161566264
407	1.161443352
408	1.161368701
409	1.161301288
410	1.161137685
411	1.161077749
412	1.161002936
413	1.160956968
414	1.160807521
415	1.160670726
416	1.160635673
417	1.160540868
418	1.160501041
419	1.16039153
420	1.160326362
421	1.160277409
422	1.160220845
423	1.160177315
424	1.160039087
425	1.159884675
426	1.159803763
427	1.159756863
428	1.159675717
429	1.159622384
430	1.159577384
431	1.159523164
432	1.159466396
433	1.159393576
434	1.159316863
435	1.159205377
436	1.159148261
437	1.159009593
438	1.158965335
439	1.158838494
440	1.158728297
441	1.15867028
442	1.158592546
443	1.158539073
444	1.158448676
445	1.158353089
446	1.158291468
447	1.158158133
448	1.158063342
449	1.158010559
450	1.157932126
451	1.157881962
452	1.157762605
453	1.157646238
454	1.157596374
455	1.1574997
456	1.15746469
457	1.157357186
458	1.157295378
459	1.15724628
460	1.157199411
461	1.157137108
462	1.15705813
463	1.156975273
464	1.156838326
465	1.156748964
466	1.156698223
467	1.156580535
468	1.156488594
469	1.156443474
470	1.156357257
471	1.156277846
472	1.156224269
473	1.15618453
474	1.15603526
475	1.155940336
476	1.155854391
477	1.155812278
478	1.155751037
479	1.155678639
480	1.155605585
481	1.155572448
482	1.155481198
483	1.155451871
484	1.155374202
485	1.155304193
486	1.155174151
487	1.155110084
488	1.154992157
489	1.154939305
490	1.15485352
491	1.15478022
492	1.154633517
493	1.1545849
494	1.154464343
495	1.154352771
496	1.154279459
497	1.154197379
498	1.154117583
499	1.154066089
500	1.153977685
501	1.153905014
502	1.15384641
503	1.153730258
504	1.153666334
505	1.153608137
506	1.153526592
507	1.153396825
508	1.153357171
509	1.153303969
510	1.153188896
511	1.153046999
512	1.152931637
