iter	Passed	Remaining
0	16	12934
1	33	13526
2	49	13253
3	67	13401
4	83	13220
5	104	13800
6	122	13865
7	137	13653
8	156	13774
9	173	13678
10	190	13641
11	206	13576
12	222	13497
13	239	13457
14	255	13346
15	272	13361
16	285	13142
17	301	13104
18	322	13247
19	339	13232
20	357	13264
21	374	13234
22	391	13239
23	407	13172
24	423	13123
25	440	13104
26	454	13018
27	469	12934
28	485	12916
29	499	12827
30	515	12788
31	525	12611
32	539	12531
33	553	12479
34	569	12445
35	582	12365
36	599	12372
37	612	12287
38	623	12167
39	639	12147
40	653	12093
41	664	12000
42	676	11918
43	692	11892
44	706	11853
45	722	11844
46	738	11833
47	751	11772
48	761	11669
49	772	11586
50	790	11605
51	802	11544
52	817	11522
53	833	11511
54	846	11470
55	859	11424
56	876	11429
57	889	11380
58	900	11312
59	918	11327
60	936	11341
61	948	11288
62	965	11291
63	978	11250
64	991	11208
65	1005	11180
66	1019	11156
67	1039	11190
68	1053	11162
69	1066	11118
70	1079	11080
71	1096	11091
72	1107	11031
73	1121	11005
74	1133	10954
75	1146	10920
76	1157	10864
77	1176	10889
78	1192	10879
79	1206	10854
80	1225	10875
81	1238	10848
82	1253	10830
83	1272	10850
84	1291	10860
85	1304	10829
86	1319	10815
87	1332	10783
88	1345	10748
89	1365	10768
90	1373	10699
91	1384	10657
92	1395	10611
93	1409	10586
94	1425	10579
95	1441	10570
96	1463	10608
97	1478	10591
98	1494	10584
99	1508	10556
100	1522	10537
101	1532	10484
102	1545	10460
103	1564	10473
104	1576	10436
105	1591	10420
106	1608	10419
107	1624	10411
108	1635	10365
109	1647	10335
110	1662	10319
111	1676	10298
112	1686	10256
113	1706	10266
114	1716	10222
115	1732	10215
116	1744	10186
117	1759	10171
118	1774	10156
119	1785	10119
120	1793	10064
121	1811	10064
122	1824	10039
123	1840	10033
124	1851	9999
125	1866	9983
126	1886	9994
127	1908	10019
128	1921	9992
129	1938	9988
130	1949	9955
131	1960	9920
132	1975	9905
133	1987	9875
134	1999	9851
135	2016	9845
136	2031	9833
137	2048	9828
138	2067	9833
139	2085	9830
140	2098	9806
141	2114	9796
142	2127	9773
143	2138	9744
144	2151	9719
145	2166	9705
146	2180	9687
147	2198	9684
148	2216	9684
149	2226	9648
150	2242	9638
151	2254	9611
152	2269	9597
153	2289	9602
154	2305	9592
155	2318	9572
156	2329	9539
157	2347	9536
158	2362	9526
159	2381	9526
160	2397	9517
161	2416	9517
162	2435	9519
163	2450	9502
164	2464	9484
165	2479	9470
166	2492	9449
167	2510	9445
168	2528	9439
169	2542	9421
170	2558	9411
